RowID;In which country do you work?;What type of organization do you work for?;Name of your organization:  (optional;Which role applies primarily to you?;Which other role applies to you?  (optional;At what political level?;At what other political level?  (optional;What is your gender identity?;What are your main fields of application?;In which other fields of applications do your work?  (optional;What is your age?;You are primarily...;What type of geospatial data do you primarily use?;What kind of other environmental data sets do you use?  (optiona;What other geospatial data sets do you use?  (optional;At what level of scale do you primarily work with geospatial data?;What level of scale you primarily work with geospatial data? (optional);How important are the following features of geospatial data to you?: Data is easy to find online.;How important are the following features of geospatial data to you?: Data has a clear and accessible license.;How important are the following features of geospatial data to you?: Data can be retrieved via domain-relevant community standards.;How important are the following features of geospatial data to you?: Data can be retrieved via open protocols.;How important are the following features of geospatial data to you?: Data is rich with understandable metadata.;How important are the following features of geospatial data to you?: Data is interoperable with other data sets.;How important are the following features of geospatial data to you?: Data can be easily integrated in existing workflows.;How important are the following features of geospatial data to you?: Source of data is well transparent and documented.;How important are the following features of geospatial data to you?: Data can be reproduced.;How important are the following features of geospatial data to you?: Data is open.;Other features that are very or extremely important to you?  (optional;How problematic do you find the following features of geospatial data?: Data are not open.;How problematic do you find the following features of geospatial data?: Data have poor / incomplete metadata.;How problematic do you find the following features of geospatial data?: Data are not available in the right formats.;How problematic do you find the following features of geospatial data?: Data need to be ordered.;How problematic do you find the following features of geospatial data?: Data access requires identification / registration;Other features that are very or extremely problematic to you? (optional;What is your favorite approach to finding geospatial data?;Which other approach you use to find geospatial data? (optional;How familiar are you with the FAIR data principles?;How important are the following FAIR principles for you?: Data must be easy and quick to find.;How important are the following FAIR principles for you?: Data must be easily accessible.;How important are the following FAIR principles for you?: Data must be easily integrated into existing applications.;How important are the following FAIR principles for you?: Data must be interoperable with other data sets.;How important are the following FAIR principles for you?: Data must be reproducible.;How important are the following FAIR principles for you?: Data must be reusable.;Have you already worked with FAIR data?;Which FAIR data sets have you worked with? (optional);For what specific reason(s) have you not used FAIR data before? (optional);From your point of view, is there a difference between FAIR data and open data?;What do you think are the biggest barriers to use FAIR data? Select your top ;Any other barriers to use FAIR data? (optional);What do you think are the biggest barriers to use open data? Select your top ;Any other barriers to use open data? (optional);What type of geospatial data do you produce / provide?;What kind of other environmental data sets do you produce / provide?  (optiona;What other geospatial data sets do you produce / provide?  (optional;At what level of scale do you primarily produce / provide geospatial data?;At what level of scale you primarily produce / provide geospatial data? (optional);From your point of view: what are important features of geospatial data for the users?: Data is easy to find online.;From your point of view: what are important features of geospatial data for the users?: Data has a clear and accessible license.;From your point of view: what are important features of geospatial data for the users?: Data can be retrieved via domain-relevant community standards.;From your point of view: what are important features of geospatial data for the users?: Data can be retrieved via open protocols.;From your point of view: what are important features of geospatial data for the users?: Data is rich with understandable metadata.;From your point of view: what are important features of geospatial data for the users?: Data is interoperable with other data sets.;From your point of view: what are important features of geospatial data for the users?: Data can be easily integrated in existing workflows.;From your point of view: what are important features of geospatial data for the users?: Source of data is well transparent and documented.;From your point of view: what are important features of geospatial data for the users?: Data can be reproduced.;From your point of view: what are important features of geospatial data for the users?: Data is open.;Other features are extremely important to the users?  (optional;From your point of view: how problematic do users find the following features of geospatial data?: Data are not open.;From your point of view: how problematic do users find the following features of geospatial data?: Data have poor / incomplete metadata.;From your point of view: how problematic do users find the following features of geospatial data?: Data are not available in the right formats.;From your point of view: how problematic do users find the following features of geospatial data?: Data need to be ordered.;From your point of view: how problematic do users find the following features of geospatial data?: Data access requires identification / registration;Other features that are very or extremely problematic to users? (optional;How can users find the geospatial data you produce / provide?;Which other way do users find the geospatial data you produce / provide? (optional;How familiar are you with the FAIR data principles?;How important are the following FAIR principles to you?: Data must be easy and quick to find;How important are the following FAIR principles to you?: Data must be easily accessible;How important are the following FAIR principles to you?: Data must be easily integrated into existing applications;How important are the following FAIR principles to you?: Data must be interoperable with other data;How important are the following FAIR principles to you?: Data must be reproducible;How important are the following FAIR principles to you?: Dat must be reusable;Are you providing FAIR data?;What are the main barriers stopping you from providing FAIR data? (optional);Which FAIR data sets are you providing? (optional);From your point of view, is there a difference between FAIR data and open data?;What do you think are the biggest barriers to produce more FAIR data? Select your top 3!;Any other barrier(s) to produce more FAIR data? (optional);What do you think are the biggest barriers to produce more open data? Select your top 3!;Any other barrier(s) to produce more open data? (optional)
11;Italy;Research institute;;Scientist;;;;Man;"Atmosphere / weather; Climate / carbon; Forestry";;40 - 50 years;a producer / provider of geospatial data;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;In-situ data;;;Continent;;Very important;Very important;Important;Important;Extremely important;Very important;Important;Extremely important;Important;Extremely important;;Very problematic;Extremely problematic;Problematic;Problematic;Slightly problematic;;"On a website; Through open repositories (e.g. zenodo)";;Familiar;Very important;Extremely important;Important;Extremely important;Very important;Extremely important;Yes;;;No, FAIR data is always open;"Lack of resources (e.g. personnel, time); Missing technical solutions (e.g. missing tools); Disagreement on data use (e.g. potential misuse)";;"Competitive disadvantage (e.g. missing business opportunities; Concerns regarding sensible data (e.g. potential misuse); Missing infrastructure (e.g. large data traffic overloads system)";
12;Romania;Company;;Scientist;;;;Man;"Coastal marine areas; Water resources";;30 - 40 years;a user of geospatial data;"Open Satellite-based remote sensing data & derived products; In-situ data";;;"Country; Federal state / region; Local";;Extremely important;Important;Slightly important;Slightly important;Very important;Important;Very important;Extremely important;Very important;Very important;;Very problematic;Extremely problematic;Slightly problematic;Very problematic;Slightly problematic;;"Through web search (e.g. via Google, Bing, Ecosia); Through geospatial catalogs (e.g. geoportal); Through data hubs (e.g. Copernicus Open Access Hub, Sentinel Hub)";;Slightly familiar;Very important;Extremly important;Very important;Important;Very important;Very important;I don’t kn;;;Yes, FAIR data is not necessarily open;I don’t kn;;I don’t kn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;Romania;University;West University of Timisoara;Scientist;;;;Man;"Climate / carbon; Agriculture / land degradation; Forestry";;30 - 40 years;a user of geospatial data;"Open Satellite-based remote sensing data & derived products; In-situ data";;;Country;;Extremely important;Very important;Extremely important;Extremely important;Very important;Important;Very important;Important;Very important;Slightly important;;Problematic;Very problematic;Very problematic;Extremely problematic;Problematic;;"Through geospatial catalogs (e.g. geoportal); Through data hubs (e.g. Copernicus Open Access Hub, Sentinel Hub)";;Slightly familiar;Important;Important;Important;Important;Important;Very important;No;;;Yes, FAIR data is not necessarily open;"Lack of knowledge about the benefits of FAIR data.; Missing technical solutions (e.g. missing tools to read data).; FAIR data is not necessarily open.";;"Legal concerns regarding licensing (e.g. ownership & copyrights are unclear).; Lack of continuity (e.g. no guaranteed continuation).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;Romania;Company;;Scientist;;;;Woman;"Risk / hazards; Infrastructure / transportation";;40 - 50 years;a user of geospatial data;Open Satellite-based remote sensing data & derived products;;;"Country; Local";;Extremely important;Extremely important;Slightly important;Slightly important;Slightly important;Important;Very important;Extremely important;Extremely important;Extremely important;;Problematic;Slightly problematic;Very problematic;Slightly problematic;Not problematic;;"Through geospatial catalogs (e.g. geoportal); Through data hubs (e.g. Copernicus Open Access Hub, Sentinel Hub)";;Not familiar;Very important;Very important;Important;Slightly important;No opinion;Extremly important;I don’t kn;;;Yes, FAIR data is not necessarily open;"Lack of awareness of which data sets are FAIR (e.g. missing label or identifier).; Concerns about licensing.; FAIR data is not necessarily open.";;"Missing support (e.g. lack of contact person for questions).; Lack of continuity (e.g. no guaranteed continuation).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;Romania;Company;;Scientist;;;;Prefer not to respond;Coastal marine areas;;30 - 40 years;a user of geospatial data;"Open Satellite-based remote sensing data & derived products; Commercial Satellite-based remote sensing data & derived products; In-situ data";;;"Country; Local";;Extremely important;Slightly important;Very important;Slightly important;Important;Extremely important;Extremely important;Very important;Extremely important;Slightly important;;Slightly problematic;Very problematic;Very problematic;Extremely problematic;Slightly problematic;;Through data hubs (e.g. Copernicus Open Access Hub, Sentinel Hub);;Not familiar;Very important;Extremly important;Extremly important;Very important;Extremly important;No opinion;I don’t kn;;;I don’t kn;"Lack of knowledge about the benefits of FAIR data.; Lack of awareness of which data sets are FAIR (e.g. missing label or identifier).";;"Concerns on metadata (e.g. uncomplete, too complex).; Missing support (e.g. lack of contact person for questions).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;France;Company;MIROVA;Other;Investment specialist;;;Man;Agriculture / land degradation;;40 - 50 years;a user of geospatial data;Open Satellite-based remote sensing data & derived products;;;Local;;Extremely important;No opinion;No opinion;Slightly important;Important;Important;Slightly important;Very important;Slightly important;Extremely important;User friendly interface for non technical person;Very problematic;Problematic;Problematic;Extremely problematic;Slightly problematic;;"Through web search (e.g. via Google, Bing, Ecosia); Through geospatial catalogs (e.g. geoportal)";;Not familiar;Very important;Extremly important;Slightly important;Slightly important;Important;Important;No;;I did not know about it;Yes, FAIR data is not necessarily open;I don’t kn;;"Missing technical solutions (e.g. lack of tools to process data).; Lack of continuity (e.g. no guaranteed continuation).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;Romania;Private individual;;Scientist;;;;Woman;Coastal marine areas;;20 - 30 years;a user of geospatial data;Open Satellite-based remote sensing data & derived products;;;"Country; Local";;Extremely important;Extremely important;No opinion;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;Extremely important;;Extremely problematic;Very problematic;Extremely problematic;Extremely problematic;Not problematic;;"Through geospatial catalogs (e.g. geoportal); Through data hubs (e.g. Copernicus Open Access Hub, Sentinel Hub)";;Not familiar;Extremly important;Extremly important;Extremly important;Extremly important;Extremly important;Extremly important;I don’t kn;;;I don’t kn;"Lack of knowledge about the benefits of FAIR data.; Lack of guidelines how to use FAIR data.";;"Legal concerns regarding licensing (e.g. ownership & copyrights are unclear).; Concerns on metadata (e.g. uncomplete, too complex).; Missing technical solutions (e.g. lack of tools to process data).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;Portugal;Research institute;;Scientist;;;;Man;Nature conservation / biodiversity;;30 - 40 years;a user of geospatial data;Open Satellite-based remote sensing data & derived products;;;"Federal state / region; Local";;Very important;Important;Important;Important;Very important;Very important;Very important;Very important;Very important;Extremely important;;Extremely problematic;Very problematic;Problematic;Slightly problematic;Slightly problematic;;Through web search (e.g. via Google, Bing, Ecosia);;Slightly familiar;Very important;Very important;Important;Important;Very important;Important;No;;;I don’t kn;I don’t kn;;"Concerns on metadata (e.g. uncomplete, too complex).; Lack of standards (e.g. unknown quality).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;Netherlands;University;Leiden University;Other;GIS and database specialist and teacher;;;Man;"Agriculture / land degradation; Nature conservation / biodiversity; Water resources";;50 - 60 years;a user of geospatial data;"Open Satellite-based remote sensing data & derived products; Other environmental data / information; Other geospatial data sets";landuse, species occurences, vegetation classes, climate data;Buildings, infrastructure, waterbodies;"Country; Federal state / region";;Very important;Important;Very important;Important;Very important;Important;Important;Slightly important;Important;Slightly important;the right scale and storage formats;Slightly problematic;Problematic;Very problematic;Problematic;Not problematic;;"Through web search (e.g. via Google, Bing, Ecosia); Through geospatial catalogs (e.g. geoportal)";;Slightly familiar;Important;Slightly important;Important;Important;Important;Important;I don’t kn;;;Yes, FAIR data is not necessarily open;"Lack of awareness of which data sets are FAIR (e.g. missing label or identifier).; Lack of guidelines how to use FAIR data.";;"Concerns on metadata (e.g. uncomplete, too complex).; Lack of continuity (e.g. no guaranteed continuation).; Lack of standards (e.g. unknown quality).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;Romania;Company;;Scientist;;;;Woman;Risk / hazards;;30 - 40 years;a user of geospatial data;"Open Satellite-based remote sensing data & derived products; In-situ data; Other geospatial data sets";;National datasets, EEA datasets;Country;;Very important;Extremely important;Extremely important;Extremely important;Extremely important;Very important;Important;Extremely important;Important;Important;The producer of the dataset is known. ;Slightly problematic;Extremely problematic;Problematic;Slightly problematic;Slightly problematic;unstandardised metadata.;"Through web search (e.g. via Google, Bing, Ecosia); Through geospatial catalogs (e.g. geoportal); Through open repositories (e.g. zenodo)";;Extremly familar;Very important;Very important;Important;Very important;Important;Extremly important;Yes;;;Yes, FAIR data is not necessarily open;"Lack of knowledge about the benefits of FAIR data.; Concerns about licensing.; FAIR data is not necessarily open.";;"Concerns on metadata (e.g. uncomplete, too complex).; Missing support (e.g. lack of contact person for questions).; Lack of continuity (e.g. no guaranteed continuation).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;Spain;Company;;Scientist;;;;Woman;"Climate / carbon; Risk / hazards; Coastal marine areas; Agriculture / land degradation; Nature conservation / biodiversity";;30 - 40 years;a user of geospatial data;"Open Satellite-based remote sensing data & derived products; Other environmental data / information; Other geospatial data sets";;;Global;;Extremely important;Important;Very important;Very important;Extremely important;Extremely important;Extremely important;Very important;Very important;Extremely important;;Extremely problematic;Very problematic;Extremely problematic;Very problematic;Very problematic;;"Through web search (e.g. via Google, Bing, Ecosia); Through geospatial catalogs (e.g. geoportal); Through open repositories (e.g. zenodo); Through data hubs (e.g. Copernicus Open Access Hub, Sentinel Hub)";;Not familiar;Extremly important;Extremly important;Extremly important;Extremly important;Extremly important;Extremly important;No;;;I don’t kn;"Lack of knowledge about the benefits of FAIR data.; Lack of awareness of which data sets are FAIR (e.g. missing label or identifier).";;"Legal concerns regarding licensing (e.g. ownership & copyrights are unclear).; Lack of continuity (e.g. no guaranteed continuation).; Lack of standards (e.g. unknown quality).";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
