"";"Group";"variable2";"value2";"count";"percent";"percent2";"variable2_wrap";"percent2_sel"
"62";"User";"Data can be retrieved via open protocols ";"Important";19;0,231707317073171;"23%";"Data can be
retrieved via open
protocols";"23%"
"63";"User";"Data can be retrieved via open protocols ";"Slightly important";13;0,158536585365854;"16%";"Data can be
retrieved via open
protocols";NA
"64";"User";"Data can be retrieved via open protocols ";"Not important";2;0,024390243902439;"2%";"Data can be
retrieved via open
protocols";NA
"65";"User";"Data can be retrieved via open protocols ";"No opinion";6;0,0731707317073171;"7%";"Data can be
retrieved via open
protocols";NA
"66";"User";"Data has a clear and accessible license ";"Extremely important";34;0,414634146341463;"41%";"Data has a clear and
accessible license";"41%"
"67";"User";"Data has a clear and accessible license ";"Very important";22;0,268292682926829;"27%";"Data has a clear and
accessible license";"27%"
"68";"User";"Data has a clear and accessible license ";"Important";19;0,231707317073171;"23%";"Data has a clear and
accessible license";"23%"
"69";"User";"Data has a clear and accessible license ";"Slightly important";5;0,0609756097560976;"6%";"Data has a clear and
accessible license";NA
"70";"User";"Data has a clear and accessible license ";"No opinion";2;0,024390243902439;"2%";"Data has a clear and
accessible license";NA
"71";"User";"Data is easy to find online ";"Extremely important";47;0,573170731707317;"57%";"Data is easy to find
online";"57%"
"72";"User";"Data is easy to find online ";"Very important";22;0,268292682926829;"27%";"Data is easy to find
online";"27%"
"73";"User";"Data is easy to find online ";"Important";8;0,0975609756097561;"10%";"Data is easy to find
online";"10%"
"74";"User";"Data is easy to find online ";"Slightly important";5;0,0609756097560976;"6%";"Data is easy to find
online";NA
"75";"User";"Data is interoperable with other data sets ";"Extremely important";25;0,304878048780488;"30%";"Data is
interoperable with
other data sets";"30%"
"76";"User";"Data is interoperable with other data sets ";"Very important";23;0,280487804878049;"28%";"Data is
interoperable with
other data sets";"28%"
"77";"User";"Data is interoperable with other data sets ";"Important";24;0,292682926829268;"29%";"Data is
interoperable with
other data sets";"29%"
"78";"User";"Data is interoperable with other data sets ";"Slightly important";8;0,0975609756097561;"10%";"Data is
interoperable with
other data sets";NA
"79";"User";"Data is interoperable with other data sets ";"Not important";2;0,024390243902439;"2%";"Data is
interoperable with
other data sets";NA
"80";"User";"Data is open ";"Extremely important";44;0,536585365853659;"54%";"Data is open";"54%"
"81";"User";"Data is open ";"Very important";15;0,182926829268293;"18%";"Data is open";"18%"
"82";"User";"Data is open ";"Important";14;0,170731707317073;"17%";"Data is open";"17%"
"83";"User";"Data is open ";"Slightly important";7;0,0853658536585366;"9%";"Data is open";NA
"84";"User";"Data is open ";"Not important";1;0,0121951219512195;"1%";"Data is open";NA
"85";"User";"Data is open ";"No opinion";1;0,0121951219512195;"1%";"Data is open";NA
"86";"User";"Data is rich with understandable metadata ";"Extremely important";36;0,439024390243902;"44%";"Data is rich with
understandable
metadata";"44%"
"87";"User";"Data is rich with understandable metadata ";"Very important";33;0,402439024390244;"40%";"Data is rich with
understandable
metadata";"40%"
"88";"User";"Data is rich with understandable metadata ";"Important";7;0,0853658536585366;"9%";"Data is rich with
understandable
metadata";"9%"
"89";"User";"Data is rich with understandable metadata ";"Slightly important";6;0,0731707317073171;"7%";"Data is rich with
understandable
metadata";NA
"90";"User";"Source of data is well transparent and documented ";"Extremely important";39;0,475609756097561;"48%";"Source of data is
well transparent and
documented";"48%"
"91";"User";"Source of data is well transparent and documented ";"Very important";25;0,304878048780488;"30%";"Source of data is
well transparent and
documented";"30%"
"92";"User";"Source of data is well transparent and documented ";"Important";14;0,170731707317073;"17%";"Source of data is
well transparent and
documented";"17%"
"93";"User";"Source of data is well transparent and documented ";"Slightly important";4;0,0487804878048781;"5%";"Source of data is
well transparent and
documented";NA
